X value [cm⁻¹],IR Spectrum 140/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) []
1730,1.511380315,0.718266606,0.140016899,3.319603443,8.119889259
1732,1.45816803,0.65839237,0.119739033,3.588803291,7.708395004
1734,1.458972812,0.640325129,0.115521498,3.690249443,6.149981976
1736,1.402067542,0.627713442,0.100176916,3.266185284,4.494842529
1738,1.354805946,0.591802478,0.09170264,2.604343414,3.471954346
1740,1.31946969,0.563207567,0.086387731,1.824992061,2.451901436
1742,1.293391228,0.535976827,0.100829348,1.299814701,2.034262657
1744,1.240130067,0.49602437,0.106005587,0.908125639,1.759668112
1746,1.185809612,0.456533253,0.140681997,0.648354173,1.641100645
1748,1.105209351,0.414361477,0.159365445,0.523495317,1.51255095
1750,1.024929523,0.383866966,0.152120948,0.484851778,1.399054885
1752,0.955381215,0.351565659,0.11917188,0.45362103,1.205292225
1754,0.865321815,0.320459634,0.108275749,0.421561301,1.071871161
