,"IR Spectrum 2/O-PTIR","IR Spectrum 3/O-PTIR","IR Spectrum 4/O-PTIR","IR Spectrum 5/O-PTIR","IR Spectrum 6/O-PTIR","IR Spectrum 7/O-PTIR"
1509,0.793718993663788,1.56828510761261,0.319030076265335,-0.277915507555008,0.381030082702637,0.35022160410881
1511,0.860688447952271,1.61795926094055,0.447765171527863,-0.0492389053106308,0.224571391940117,0.34590819478035
1513,0.820751786231995,1.62569272518158,0.478850930929184,-0.16150751709938,0.269125938415527,0.206607773900032
1515,0.585870742797852,1.43379771709442,0.441384136676788,-0.154850363731384,0.161213755607605,0.24302165210247
1517,0.701852262020111,1.22510278224945,0.587086319923401,-0.245261773467064,0.208671882748604,0.296841472387314
1519,0.73762845993042,1.09070873260498,0.581476330757141,-0.451756924390793,0.238590359687805,0.377050936222076
1521,0.607660353183746,1.23906350135803,0.375664114952087,-0.25127300620079,0.146379128098488,0.683888673782349
1523,0.433975338935852,1.19288539886475,0.375270545482635,-0.0581034570932388,0.245661422610283,0.547439336776733
1525,0.563234210014343,1.26496016979218,0.285021483898163,-0.120671302080154,0.295173913240433,0.23151783645153
1527,0.720157265663147,1.41302514076233,0.366412699222565,-0.190884366631508,0.206789493560791,0.283065110445023
1529,0.811930358409882,1.4935005903244,0.390605062246323,-0.107695266604424,0.232449412345886,0.343982934951782
1531,0.883378624916077,1.54599750041962,0.332091927528381,-0.0561417900025845,0.279081910848618,0.533801913261414
1533,0.781540155410767,1.62654840946198,0.374486118555069,-0.137397542595863,0.210656270384789,0.404937088489532
1535,1.07509326934814,1.93397617340088,0.681226491928101,-0.064219743013382,0.416937261819839,0.455057173967361
1537,1.00788521766663,1.83106791973114,0.720296859741211,-0.0298961140215397,0.358398169279099,0.388812273740768
1539,0.71295553445816,1.41462206840515,0.676688015460968,0.0259042475372553,0.289609044790268,0.39758163690567
1541,0.830266416072845,1.58442986011505,0.510508596897125,-0.111156895756721,0.303357064723969,0.48740229010582
1543,1.00234031677246,1.98136878013611,0.529506623744965,-0.0875184535980225,0.417989432811737,0.489175349473953
1545,1.12538242340088,2.23136568069458,0.62298595905304,0.0449488386511803,0.478900879621506,0.588267982006073
1547,1.24249577522278,2.18098115921021,0.63447642326355,0.0803086534142494,0.569664001464844,0.644005298614502
1549,1.22433638572693,2.01966261863708,0.440414845943451,0.127827882766724,0.525432646274567,0.589467406272888
1551,1.13811349868774,1.90083348751068,0.518446683883667,0.100425571203232,0.51485002040863,0.576028764247894
1553,1.12272703647614,1.92666745185852,0.58711975812912,0.0458042398095131,0.427035123109818,0.514528810977936
1555,1.01682198047638,1.85893368721008,0.548549830913544,0.00182311388198286,0.344026952981949,0.412269592285156
1557,0.736432552337646,1.69873332977295,0.538259327411652,-0.00583963375538588,0.0336784049868584,0.295167654752731
1559,0.631921708583832,1.4895054101944,0.646961867809296,-0.00502086523920298,-0.0683727711439133,0.145019128918648
1561,0.986515760421753,1.53397226333618,0.702132940292358,0.0446031540632248,0.36446014046669,0.423214495182037
1563,1.12103378772736,1.74960720539093,0.742800652980804,0.0589570961892605,0.503109753131866,0.515209555625916
1565,1.16104698181152,1.91573512554169,0.730101466178894,0.104420363903046,0.506240606307983,0.568015336990356
1567,1.12314629554749,2.02045440673828,0.705563604831696,0.0952522829174995,0.51549243927002,0.595947980880737
1569,1.20000755786896,2.11045789718628,0.74777215719223,0.0916557908058167,0.528008759021759,0.557318687438965
1571,1.45680105686188,2.33073449134827,0.853235423564911,0.125402688980103,0.70587956905365,0.694634437561035
1573,1.59785532951355,2.46875810623169,0.928647220134735,0.156177461147308,0.778257846832275,0.769991993904114
1575,1.69075047969818,2.66659164428711,0.993541240692139,0.158222541213036,0.809458911418915,0.840728163719177
1577,2.0829381942749,3.3145968914032,1.29979419708252,0.254641652107239,1.03475570678711,1.07965993881226
1579,2.75816440582275,4.40157175064087,1.75200390815735,0.420460253953934,1.40322196483612,1.48579406738281
1581,3.66016554832458,5.76902723312378,2.34705829620361,0.613411128520966,1.82502925395966,1.91826725006104
1583,4.0234203338623,6.22568082809448,2.58117461204529,0.670850992202759,1.98136627674103,2.13412928581238
1585,3.73089456558228,5.67631769180298,2.34102654457092,0.619087517261505,1.75886857509613,1.93433749675751
1587,3.29824948310852,5.04736566543579,2.05333518981934,0.526105999946594,1.52776980400085,1.71766936779022
1589,3.18809294700623,4.96902990341187,1.99297535419464,0.518963396549225,1.53546440601349,1.66897344589233
1591,3.53198957443237,5.47908115386963,2.18750357627869,0.597696244716644,1.71883034706116,1.83787906169891
1593,4.10587644577026,6.35521364212036,2.54294872283936,0.704740107059479,2.04114294052124,2.13265562057495
1595,5.26537036895752,8.06426525115967,3.27400159835815,0.955574452877045,2.58515453338623,2.75604820251465
1597,7.07296657562256,10.9637928009033,4.45719528198242,1.41218173503876,3.51607227325439,3.81604170799255
1599,9.06458187103271,14.1091918945313,5.79262685775757,1.883953332901,4.54727792739868,4.89761686325073
1601,9.97686386108398,15.4496488571167,6.40210676193237,2.13951444625854,4.98360013961792,5.39049816131592
1603,9.06834888458252,13.9943809509277,5.81031799316406,1.96445417404175,4.53501129150391,4.88853597640991
1605,7.26170778274536,11.1325387954712,4.56372022628784,1.47905611991882,3.5269980430603,3.88893485069275
1607,5.45813798904419,8.32679080963135,3.38315534591675,1.04138946533203,2.58906435966492,2.88972854614258
1609,4.07393884658813,6.30839920043945,2.55414247512817,0.721526801586151,1.9489107131958,2.18202447891235
1611,3.33813881874084,5.07030248641968,2.11369252204895,0.577856838703156,1.61938393115997,1.73271226882935
1613,2.92539405822754,4.48032712936401,1.86886346340179,0.483094602823257,1.39223635196686,1.51051664352417
1615,2.70172524452209,4.13646984100342,1.75070977210999,0.316816598176956,1.20949685573578,1.37480962276459
1617,2.71018004417419,3.98993110656738,1.71494913101196,0.285904198884964,1.1862781047821,1.34183430671692
1619,2.59688758850098,3.9071741104126,1.66662907600403,0.281453639268875,1.17587172985077,1.41925990581512
1621,2.51746129989624,3.82457232475281,1.6452841758728,0.294261693954468,1.17681407928467,1.4414210319519
1623,2.64055633544922,3.87484192848206,1.62223052978516,0.279529303312302,1.17475891113281,1.41328454017639
1625,2.59557151794434,3.8894374370575,1.65471863746643,0.295806050300598,1.14617729187012,1.40293657779694
1627,2.58102679252625,3.9648060798645,1.69049823284149,0.268032729625702,1.13453078269958,1.36410748958588
1629,2.56510519981384,3.95558285713196,1.65362942218781,0.314628213644028,1.18424427509308,1.39885830879211
1631,2.52166080474854,3.89172697067261,1.63848972320557,0.316549569368362,1.23433780670166,1.38011038303375
1633,2.40748310089111,3.84595680236816,1.53838980197906,0.281293004751205,1.22295880317688,1.33445060253143
1635,2.31249237060547,3.7418155670166,1.43182718753815,0.198883891105652,1.17558479309082,1.26826989650726
1637,2.41296935081482,3.7376446723938,1.50598216056824,0.262543052434921,1.13235366344452,1.29289782047272
1639,2.5065393447876,3.78837108612061,1.53678750991821,0.334734737873077,1.11085164546967,1.37012910842896
1641,2.53071117401123,3.85800576210022,1.56282758712769,0.362920463085175,1.13194739818573,1.37654209136963
1643,2.49051928520203,3.79910969734192,1.56031405925751,0.319770187139511,1.1737734079361,1.3616601228714
1645,2.44052410125732,3.75719714164734,1.5015242099762,0.288263291120529,1.1826423406601,1.30893623828888
1647,2.42865777015686,4.02524948120117,1.54570090770721,0.324615210294724,1.22657465934753,1.31830441951752
1649,2.55459356307983,4.1600399017334,1.59684598445892,0.298413276672363,1.25624358654022,1.37587118148804
1651,2.43846011161804,4.03454208374023,1.4727954864502,0.219002395868301,1.14611840248108,1.30218851566315
1653,2.37914729118347,4.22066879272461,1.44765794277191,0.222992807626724,1.09780359268188,1.31659185886383
1655,2.71093916893005,4.46924638748169,1.6368020772934,0.338799893856049,1.26089668273926,1.47441577911377
1657,2.84754991531372,4.61478900909424,1.74392652511597,0.432841598987579,1.34782922267914,1.5252103805542
1659,2.92167544364929,4.80146551132202,1.81492745876312,0.481248766183853,1.46160769462585,1.53575074672699
1661,3.02395486831665,4.88352489471436,1.86074876785278,0.454144924879074,1.53367161750793,1.50939953327179
1663,3.207190990448,5.07542037963867,1.98500263690948,0.521712303161621,1.58200645446777,1.61876821517944
1665,3.25856804847717,5.16238307952881,2.06685876846313,0.500331044197083,1.60326790809631,1.71703040599823
1667,3.215252161026,5.11422491073608,2.05209183692932,0.491988152265549,1.55367302894592,1.65929937362671
1669,3.22675228118896,5.22021961212158,2.06695175170898,0.483649581670761,1.56376481056213,1.62303864955902
1671,3.30976271629333,5.35399436950684,2.1019811630249,0.489311903715134,1.62765562534332,1.68845772743225
1673,3.23486542701721,5.2917685508728,2.0774130821228,0.511297702789307,1.63937330245972,1.7338981628418
1675,3.27769351005554,5.34978580474854,2.14706230163574,0.547126352787018,1.58596074581146,1.76052236557007
1677,3.32745385169983,5.33055067062378,2.14183259010315,0.562520980834961,1.60964787006378,1.72310793399811
1679,3.35033297538757,5.32714653015137,2.09152936935425,0.56683760881424,1.5876350402832,1.69041550159454
1681,3.2959132194519,5.22673511505127,2.05812644958496,0.520477056503296,1.54456567764282,1.63898515701294
1683,3.22530722618103,5.06145143508911,1.91875422000885,0.4663026034832,1.42962872982025,1.55371057987213
1685,3.1651291847229,5.18948030471802,1.9270339012146,0.478737086057663,1.46583735942841,1.58571839332581
1687,3.11801719665527,5.19319248199463,1.94414365291595,0.587513744831085,1.49547445774078,1.60708498954773
1689,3.08068346977234,5.16764163970947,1.93782913684845,0.539506793022156,1.4781574010849,1.58893775939941
1691,3.01483416557312,5.12240505218506,1.93921291828156,0.497211694717407,1.46313786506653,1.59459555149078
1693,2.97913146018982,4.98398590087891,1.89761090278625,0.447849333286285,1.43362557888031,1.53778564929962
1695,2.95345854759216,4.87309074401855,1.8523280620575,0.355361223220825,1.42298686504364,1.42383432388306
1697,2.87533140182495,4.79508447647095,1.84283375740051,0.389883816242218,1.4570620059967,1.38390219211578
1699,2.73716926574707,4.62681579589844,1.66577076911926,0.33691793680191,1.32361328601837,1.14534652233124
1701,2.78704953193665,4.64657640457153,1.61829400062561,0.408259481191635,1.29702079296112,1.19180524349213
1703,2.70905661582947,4.51285696029663,1.61584329605103,0.421007812023163,1.24088716506958,1.23801577091217
1705,2.59576773643494,4.37400960922241,1.55749571323395,0.33378541469574,1.24542260169983,1.18997824192047
1707,2.55684733390808,4.30232381820679,1.56957185268402,0.342399418354034,1.21843409538269,1.2143120765686
1709,2.46029114723206,4.20695781707764,1.49962937831879,0.344011336565018,1.19740784168243,1.25037693977356
1711,2.32487940788269,4.06293630599976,1.45460093021393,0.332556486129761,1.1933422088623,1.21738946437836
1713,2.26736354827881,3.91174674034119,1.38632524013519,0.326805889606476,1.14175045490265,1.15002799034119
1715,2.09122323989868,3.73315954208374,1.31968486309052,0.319906026124954,1.09262704849243,1.06877422332764
1717,1.98086869716644,3.67223072052002,1.17911660671234,0.213048323988914,0.957869529724121,1.00210428237915
1719,2.0548357963562,3.71484160423279,1.23734545707703,0.217738538980484,0.96784383058548,1.04233539104462
1721,2.09121179580688,3.68310832977295,1.31799674034119,0.219005793333054,1.00299119949341,1.06434392929077
1723,2.10609984397888,3.60932612419128,1.29113507270813,0.219469428062439,1.02337443828583,1.01270306110382
1725,2.04552030563354,3.65509748458862,1.24371898174286,0.226614460349083,1.01906740665436,0.975801229476929
1727,2.06060791015625,3.61927485466003,1.19743394851685,0.292617648839951,1.06671369075775,0.984502792358398
1729,2.02795481681824,3.59370994567871,1.19128322601318,0.314092248678207,1.04726529121399,0.999865293502808
1731,2.02023339271545,3.58605194091797,1.22996771335602,0.245534211397171,1.0092601776123,1.02153444290161
1733,1.97890663146973,3.73197174072266,1.22537183761597,0.193276599049568,0.99780261516571,0.964886426925659
1735,2.18573713302612,3.98383975028992,1.26420533657074,0.270632714033127,1.12275063991547,0.971290409564972
1737,2.25784206390381,4.02170324325562,1.35707545280457,0.219483554363251,1.15779983997345,0.979087769985199
1739,2.17734217643738,4.03310060501099,1.34642767906189,0.220095917582512,1.13470423221588,1.02412760257721
1741,2.15694046020508,4.08778810501099,1.33497536182404,0.230418637394905,1.1271595954895,0.937036097049713
1743,2.09536075592041,3.95273590087891,1.293008685112,0.259639084339142,1.07715785503387,0.887454688549042
1745,2.03072905540466,3.67722201347351,1.22859060764313,0.204723373055458,0.985274791717529,0.951849937438965
