,"O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR"
943,-0.180733293294907,0.150063171982765,-0.456130504608154,-0.960893332958221,-0.784290611743927,0.568974792957306,-1.4275723695755,-0.0555366277694702,-0.818860590457916,0.668796598911285,-0.0197971556335688,0.353461712598801,-0.38693967461586,-0.104619413614273,0.661232829093933,-0.320866286754608,-0.584724247455597,0.442191928625107,-1.20758986473083
945,-0.539587676525116,0.303011506795883,-0.489354968070984,-0.748992204666138,-0.590249001979828,0.267542213201523,-1.07684695720673,-0.496355414390564,-0.823408842086792,-0.147770345211029,-0.404726654291153,-0.0767317265272141,-0.730101346969604,-0.461994260549545,0.195387154817581,-0.798105597496033,-0.612447917461395,0.64995938539505,-0.845652163028717
947,-0.529054343700409,0.339249432086945,-0.4872707426548,-0.53657054901123,0.0504316352307796,0.0462908037006855,-0.674802541732788,-0.558240830898285,-0.713595867156982,-0.37101998925209,-0.562767267227173,-0.458472341299057,-0.50247323513031,-0.457486867904663,-0.0802445411682129,-0.70103532075882,-0.299195259809494,1.01153564453125,-0.435827851295471
949,-0.298806041479111,0.211789384484291,-0.383277475833893,-0.13657520711422,0.370712578296661,0.0513688437640667,-0.259875297546387,-0.499372601509094,-0.427483260631561,-0.422281920909882,-0.328124105930328,-0.76425963640213,0.129315987229347,-0.127068415284157,-0.298158437013626,-0.627956092357635,-0.136411726474762,1.08362507820129,-0.0466849356889725
951,-0.391085118055344,0.200717255473137,-0.565950512886047,0.240196123719215,0.420494556427002,0.148934841156006,0.247878909111023,-0.50568687915802,-0.230854675173759,-0.368517816066742,-0.173629716038704,-0.48518893122673,0.55939394235611,0.178113996982574,-0.276054710149765,-0.581643462181091,-0.0303538236767054,1.05043184757233,0.0422844216227531
953,-0.431094884872437,0.260851234197617,-0.47755953669548,0.21924364566803,0.395016968250275,0.215235516428947,0.462491184473038,-0.470164209604263,-0.221281126141548,-0.214594006538391,0.0737176612019539,-0.365014225244522,0.834134817123413,0.331181168556213,-0.308036863803864,-0.441218882799149,0.114621706306934,0.976605355739594,0.064241498708725
955,-0.306788831949234,0.382687598466873,-0.434813320636749,-0.0021255083847791,0.26634207367897,0.152646794915199,0.725727081298828,-0.464218586683273,-0.256670653820038,0.0166470389813185,0.348976224660873,-0.303746551275253,0.953623831272125,0.284422874450684,-0.227472484111786,-0.160509929060936,0.246626779437065,0.944358110427856,0.153895601630211
957,-0.261633843183517,0.430394232273102,-0.453812509775162,-0.202718660235405,0.152850046753883,-0.0275388695299625,0.808686375617981,-0.461209625005722,-0.106644034385681,0.184506073594093,0.486174672842026,-0.28020179271698,1.02871775627136,0.0853540748357773,-0.226908192038536,0.170702397823334,0.441437423229218,1.15759217739105,0.0469787605106831
959,-0.35796794295311,0.509387671947479,-0.499573796987534,-0.25266021490097,-0.0061982860788703,-0.0918549597263336,0.809682369232178,-0.357013374567032,-0.016980642452836,0.0542041286826134,0.619396865367889,-0.206753805279732,1.01666283607483,0.00829389598220587,-0.264955163002014,0.310464888811111,0.7097247838974,1.49317109584808,-0.306789100170135
961,-0.306949615478516,0.62841522693634,-0.333262890577316,-0.243772327899933,-0.00500037614256144,-0.0469232611358166,0.866104364395142,-0.196901738643646,-0.145642936229706,-0.0166663751006126,0.658442378044128,-0.0357991494238377,1.07456851005554,0.02318992651999,-0.219563350081444,0.312655240297318,0.854344367980957,1.67350077629089,-0.177637025713921
