,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR"
1367,1.26730227470398,1.96388804912567,0.794960498809814,0.539871752262115,1.7078138589859,1.20905745029449,2.37467455863953,2.65581488609314,1.62434685230255,1.6561586856842,0.763167798519135,0.775195896625519
1369,1.28318846225739,2.0335705280304,0.815975368022919,0.546757221221924,1.75496232509613,1.24148273468018,2.41434335708618,2.70817565917969,1.65594029426575,1.69476306438446,0.794644176959991,0.800378739833832
1371,1.29732811450958,2.07920122146606,0.83864027261734,0.554118990898132,1.78131699562073,1.2585164308548,2.42722105979919,2.73154973983765,1.68567955493927,1.71805357933044,0.806002140045166,0.811955809593201
1373,1.32473480701447,2.11241507530212,0.860257923603058,0.557820916175842,1.7990118265152,1.28241658210754,2.45839524269104,2.77972078323364,1.70999383926392,1.74630403518677,0.82458633184433,0.833976447582245
1375,1.36091125011444,2.12938833236694,0.876604735851288,0.563220381736755,1.82332801818848,1.31384658813477,2.5064685344696,2.84524178504944,1.73358309268951,1.77448582649231,0.847771644592285,0.861066281795502
1377,1.39032316207886,2.14353108406067,0.878004729747772,0.58151650428772,1.85266315937042,1.33738923072815,2.55189061164856,2.90903973579407,1.76249027252197,1.78230535984039,0.858956754207611,0.888532817363739
1379,1.40879154205322,2.16407489776611,0.872027575969696,0.605568885803223,1.87253654003143,1.34839475154877,2.59613943099976,2.96992039680481,1.77954614162445,1.78375494480133,0.86854475736618,0.904345512390137
1381,1.42887127399445,2.1801290512085,0.886045277118683,0.619411468505859,1.89083397388458,1.36446845531464,2.63155579566956,3.02499485015869,1.77955055236816,1.8051323890686,0.896564245223999,0.909014880657196
1383,1.43354499340057,2.18779182434082,0.891845762729645,0.62238484621048,1.89657890796661,1.39028072357178,2.64830040931702,3.06044244766235,1.76819837093353,1.81175804138184,0.9216228723526,0.893745362758636
1385,1.43391060829163,2.2077898979187,0.880096197128296,0.627510070800781,1.8956550359726,1.41788709163666,2.66068601608276,3.07335495948792,1.74684131145477,1.80789756774902,0.933039426803589,0.864986300468445
