,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR"
1211,0.0617215447127819,-0.107594877481461,1.44863152503967,0.375340163707733,0.249835163354874,1.53344655036926,1.57693457603455,3.28163838386536,0.726840376853943,0.0585032030940056,0.490171104669571,3.17635250091553,0.509272575378418,1.33620345592499,0.25514942407608,0.508073449134827
1213,0.0367608927190304,-0.106189645826817,1.42666041851044,0.404788702726364,0.34177103638649,1.60903871059418,1.50360953807831,3.29036116600037,0.641414523124695,0.0588789768517017,0.430593073368073,3.06361079216003,0.552043437957764,1.28024446964264,0.272871196269989,0.468133568763733
1215,0.033903893083334,-0.110169596970081,1.39335930347443,0.380525201559067,0.282259196043015,1.60263288021088,1.49625325202942,3.34986305236816,0.64660120010376,0.0687892585992813,0.442466199398041,3.08426904678345,0.518631398677826,1.31502866744995,0.331304997205734,0.464689314365387
1217,0.0583336614072323,-0.0878385454416275,1.35673868656158,0.357765644788742,0.266800820827484,1.59937405586243,1.49643421173096,3.40589499473572,0.669748783111572,0.0579208545386791,0.454949647188187,3.13208436965942,0.456778824329376,1.3107647895813,0.407966136932373,0.465230584144592
1219,0.0901097282767296,-0.0785202085971832,1.35172283649445,0.364180237054825,0.338918387889862,1.59094429016113,1.5117119550705,3.45480585098267,0.716968774795532,0.0465775243937969,0.442297071218491,3.18048310279846,0.442709356546402,1.3050252199173,0.43594354391098,0.483823150396347
1221,0.0855246931314468,-0.0820758789777756,1.38250994682312,0.423229426145554,0.404489934444427,1.55635058879852,1.56800556182861,3.49208402633667,0.694607555866241,0.0554112382233143,0.443578958511353,3.23832964897156,0.501028895378113,1.29311919212341,0.436963230371475,0.51020485162735
1223,0.0509336329996586,-0.0623258762061596,1.42424726486206,0.470953643321991,0.444557070732117,1.55300843715668,1.56249177455902,3.51050043106079,0.666351675987244,0.0941952168941498,0.466849952936172,3.2678587436676,0.558429777622223,1.24972558021545,0.438935399055481,0.550550699234009
1225,0.0365778356790543,-0.0451156832277775,1.44029831886292,0.473284482955933,0.489265322685242,1.54444885253906,1.50016033649445,3.53212761878967,0.636529207229614,0.110144093632698,0.512420654296875,3.26963138580322,0.591240584850311,1.19153380393982,0.46054819226265,0.566986799240112
1227,0.0529214292764664,-0.0577886216342449,1.43330860137939,0.460786134004593,0.500119805335999,1.549391746521,1.46267366409302,3.49815225601196,0.639882504940033,0.115072935819626,0.544775784015656,3.2254319190979,0.617688059806824,1.17842960357666,0.461309641599655,0.555551528930664
1229,0.0947098881006241,-0.0336338058114052,1.42232596874237,0.447488456964493,0.491393208503723,1.58219838142395,1.45328223705292,3.44888973236084,0.642662107944489,0.142601951956749,0.547221183776855,3.17336082458496,0.640685975551605,1.18197762966156,0.454098701477051,0.529637813568115
1231,0.117711812257767,0.00521048484370112,1.42530989646912,0.470628082752228,0.474214941263199,1.60656881332397,1.45408797264099,3.42470502853394,0.589299619197845,0.162184238433838,0.525516152381897,3.11133599281311,0.650586903095245,1.20447361469269,0.478645652532578,0.501838564872742
